"","x"
"s001",TRUE
"s002",FALSE
"s003",TRUE
"s004",FALSE
"s005",FALSE
"s006",FALSE
"s007",TRUE
"s008",FALSE
"s009",FALSE
"s010",FALSE
"s011",TRUE
"s012",TRUE
"s013",TRUE
"s014",FALSE
"s015",FALSE
"s016",TRUE
"s017",FALSE
"s018",FALSE
"s019",TRUE
"s020",FALSE
"s021",FALSE
"s022",FALSE
"s023",FALSE
"s024",FALSE
"s025",FALSE
"s026",TRUE
"s027",TRUE
"s028",TRUE
"s029",TRUE
"s030",FALSE
"s031",TRUE
"s032",FALSE
"s033",TRUE
"s034",TRUE
"s035",FALSE
"s036",FALSE
"s037",FALSE
"s038",FALSE
"s039",FALSE
"s040",FALSE
"s041",TRUE
"s042",FALSE
"s043",TRUE
"s044",FALSE
"s045",FALSE
"s046",TRUE
"s047",FALSE
"s048",FALSE
"s049",FALSE
"s050",FALSE
"s051",FALSE
"s052",TRUE
"s053",FALSE
"s054",TRUE
"s055",FALSE
"s056",TRUE
"s057",FALSE
"s058",FALSE
"s059",TRUE
"s060",FALSE
"s061",FALSE
"s062",FALSE
"s063",FALSE
"s064",TRUE
"s065",FALSE
"s066",TRUE
"s067",FALSE
"s068",FALSE
"s069",FALSE
"s070",TRUE
"s071",FALSE
"s072",TRUE
"s073",TRUE
"s074",FALSE
"s075",FALSE
"s076",FALSE
"s077",FALSE
"s078",FALSE
"s079",FALSE
"s080",FALSE
"s081",FALSE
"s082",TRUE
"s083",FALSE
"s084",FALSE
"s085",FALSE
"s086",TRUE
"s087",TRUE
"s088",TRUE
"s089",TRUE
"s090",FALSE
"s091",FALSE
"s092",FALSE
"s093",TRUE
"s094",FALSE
"s095",FALSE
"s096",FALSE
"s097",TRUE
"s098",FALSE
"s099",TRUE
"s100",FALSE
"s101",FALSE
"s102",FALSE
"s103",FALSE
"s104",FALSE
"s105",FALSE
"s106",FALSE
"s107",TRUE
"s108",FALSE
"s109",FALSE
"s110",FALSE
"s111",FALSE
"s112",TRUE
"s113",FALSE
"s114",TRUE
"s115",FALSE
"s116",FALSE
"s117",FALSE
"s118",TRUE
"s119",FALSE
"s120",FALSE
"s121",TRUE
"s122",FALSE
"s123",TRUE
"s124",FALSE
"s125",FALSE
"s126",TRUE
"s127",TRUE
"s128",FALSE
"s129",FALSE
"s130",FALSE
"s131",TRUE
"s132",TRUE
"s133",FALSE
"s134",TRUE
"s135",FALSE
"s136",FALSE
"s137",FALSE
"s138",FALSE
"s139",TRUE
"s140",FALSE
"s141",FALSE
"s142",FALSE
"s143",TRUE
"s144",FALSE
"s145",FALSE
"s146",FALSE
"s147",TRUE
"s148",FALSE
"s149",FALSE
"s150",FALSE
"s151",FALSE
"s152",TRUE
"s153",FALSE
"s154",FALSE
"s155",FALSE
"s156",FALSE
"s157",FALSE
"s158",FALSE
"s159",FALSE
"s160",FALSE
