"","I listen to tapes or CDs","I look around in the shops","I read comics, mags or books","I go to sport matches","I take part in sports","I hang round in the streets","I play computer games","I spend time on my hobby (eg art, an instrument)","I go to something like B.B., Guides or Scouts","I go to cinema","I go to pop concerts, gigs","I go to church, mosque or temple","I look after a pet animal","I go to dance clubs or raves","I do nothing much (am bored)"
"s001",1,2,2,4,4,4,3,2,2,3,3,2,4,3,4
"s002",3,4,4,3,1,4,2,2,2,3,4,4,4,4,3
"s003",1,2,1,4,4,1,4,4,4,4,4,4,4,2,1
"s004",1,2,1,4,4,1,3,4,4,3,3,4,1,4,4
"s005",1,2,2,1,1,2,3,3,2,3,3,3,4,4,2
"s006",1,2,1,4,2,4,4,1,4,3,3,4,4,3,4
"s007",1,3,1,4,4,4,4,2,2,4,4,4,4,4,4
"s008",1,1,1,2,4,1,1,4,4,2,4,4,4,4,4
"s009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s010",1,2,3,3,1,2,2,1,4,3,4,4,4,4,4
"s011",1,2,3,2,4,1,4,3,4,3,4,4,2,4,1
"s012",1,2,2,4,1,1,3,1,4,3,4,4,4,2,4
"s013",1,2,1,4,2,1,4,2,4,3,4,4,4,4,4
"s014",1,2,3,3,1,4,1,1,1,2,4,4,4,3,4
"s015",1,2,1,4,2,1,3,2,4,3,4,4,1,3,4
"s016",1,2,1,4,1,4,2,4,4,3,4,4,4,4,4
"s017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s018",1,2,1,4,1,4,1,2,4,2,3,4,4,4,4
"s019",1,1,2,4,1,1,4,4,4,2,3,2,1,2,4
"s020",1,2,1,4,4,4,1,2,4,2,4,4,2,4,4
"s021",1,3,2,4,4,4,1,4,4,2,4,4,1,4,4
"s022",1,1,2,2,1,1,1,4,4,3,4,4,4,4,4
"s023",1,2,4,4,4,4,1,1,4,4,4,2,4,4,4
