"","rock","chart","reggae","dance","heavy","techno","folk","rave","indie","jazz","classical","sixty","house","grunge","rap","hiphop"
"s001",0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"s002",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"s003",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s004",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"s005",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"s006",1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0
"s007",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"s008",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s009",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s010",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s011",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s012",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"s013",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"s014",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s015",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"s016",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s017",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s018",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"s019",0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0
"s020",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"s021",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"s022",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s023",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"s024",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s025",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"s026",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s027",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"s028",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s029",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
"s030",0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"s031",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s032",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s033",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s034",1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1
"s035",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s036",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s037",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"s038",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s039",0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"s040",0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
"s041",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s042",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s043",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"s044",0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0
"s045",1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1
"s046",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s047",1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"s048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s049",1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0
"s050",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s051",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s052",0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"s053",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s054",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s055",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s056",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s057",1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
"s058",0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"s059",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s060",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s061",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s062",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s063",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s064",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s065",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s066",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s067",0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s068",0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"s069",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"s070",0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1
"s071",0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
"s072",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s073",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s074",1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
"s075",0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"s076",0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0
"s077",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"s078",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s079",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"s080",0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
"s081",1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"s082",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s083",0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
"s084",0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s085",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"s086",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s087",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s088",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s089",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s090",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s091",1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"s092",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
"s093",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s094",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s095",1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0
"s096",0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"s097",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s098",1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
"s099",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"s100",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"s101",1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0
"s102",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"s103",1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0
"s104",1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1
"s105",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"s106",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"s107",0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
"s108",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s109",0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"s110",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s111",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s112",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"s113",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"s114",1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0
"s115",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s116",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"s117",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"s118",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s119",0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
"s120",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s121",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s122",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s123",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"s124",0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0
"s125",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s126",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s127",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"s128",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s129",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s130",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"s131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s132",0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
"s133",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s134",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s135",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s137",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"s138",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"s139",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"s140",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s141",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s142",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s143",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"s144",0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
"s145",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"s146",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s147",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"s148",1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
"s149",1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
"s150",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s151",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s152",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"s153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
